audio,label
18,1
17,1
16,1
15,1
11,1
1,1
-5,1
-8,1
-16,1
-27,1
-32,1
-30,1
-32,1
-29,1
-22,1
-12,1
-5,1
2,1
1,1
0,1
6,1
16,1
22,1
33,1
41,1
44,1
48,1
49,1
51,1
43,1
43,1
47,1
49,1
52,1
62,1
65,1
58,1
54,1
53,1
61,1
64,1
67,1
73,1
70,1
65,1
54,1
44,1
39,1
37,1
35,1
26,1
19,1
10,1
3,1
-5,1
-15,1
-22,1
-21,1
-16,1
-13,1
-7,1
-5,1
-6,1
-5,1
24,1
27,1
16,1
2,1
-10,1
-20,1
-21,1
-18,1
-18,1
-13,1
-6,1
-3,1
7,1
10,1
13,1
20,1
26,1
32,1
28,1
27,1
32,1
31,1
46,1
58,1
62,1
57,1
48,1
46,1
49,1
45,1
56,1
46,1
35,1
21,1
6,1
-1,1
-9,1
-10,1
-9,1
-10,1
-10,1
-9,1
-14,1
-12,1
-17,1
-22,1
-21,1
-26,1
-27,1
-31,1
-30,1
-38,1
-46,1
-50,1
-58,1
-54,1
-49,1
-34,1
-21,1
-18,1
-12,1
-10,1
-9,1
-8,1
-2,1
3,1
13,1
63,1
67,1
69,1
68,1
61,1
60,1
57,1
60,1
63,1
69,1
77,1
78,1
82,1
86,1
87,1
86,1
87,1
85,1
86,1
88,1
86,1
86,1
79,1
75,1
79,1
81,1
74,1
68,1
66,1
56,1
52,1
47,1
41,1
39,1
40,1
39,1
40,1
48,1
50,1
55,1
47,1
44,1
40,1
38,1
36,1
34,1
34,1
30,1
29,1
30,1
35,1
47,1
50,1
52,1
54,1
54,1
55,1
52,1
51,1
51,1
48,1
49,1
54,1
54,1
63,1
65,1
70,1
70,1
71,1
65,1
68,1
60,1
58,1
52,1
47,1
44,1
39,1
34,1
35,1
32,1
32,1
28,1
20,1
11,1
11,1
-16,1
-14,1
-12,1
-16,1
-15,1
-14,1
-17,1
-14,1
-13,1
-8,1
-5,1
-5,1
-4,1
-6,1
-3,1
-4,1
1,1
4,1
-1,1
6,1
7,1
7,1
14,1
8,1
17,1
17,1
16,1
22,1
28,1
28,1
24,1
22,1
17,1
21,1
23,1
21,1
23,1
24,1
23,1
23,1
20,1
18,1
14,1
11,1
6,1
7,1
6,1
6,1
5,1
4,1
1,1
6,1
3,1
9,1
14,1
16,1
22,1
25,1
23,1
25,1
26,1
31,1
31,1
32,1
34,1
29,1
30,1
32,1
33,1
31,1
32,1
29,1
30,1
31,1
29,1
36,1
40,1
40,1
41,1
39,1
40,1
36,1
39,1
38,1
33,1
34,1
32,1
32,1
34,1
41,1
35,1
34,1
33,1
33,1
36,1
41,1
43,1
47,1
44,1
42,1
39,1
46,1
51,1
53,1
60,1
59,1
63,1
61,1
55,1
49,1
46,1
46,1
45,1
46,1
50,1
44,1
41,1
38,1
42,1
1,1
-2,1
-5,1
-1,1
-7,1
-12,1
-16,1
-27,1
-31,1
-36,1
-40,1
-45,1
-50,1
-47,1
-48,1
-52,1
-47,1
-49,1
-55,1
-56,1
-62,1
-64,1
-63,1
-61,1
-55,1
-50,1
-45,1
-40,1
-41,1
-43,1
-42,1
-39,1
-34,1
-43,1
-50,1
-47,1
-46,1
-39,1
-33,1
-29,1
-25,1
-17,1
-18,1
-18,1
-18,1
-17,1
-16,1
-17,1
-15,1
-13,1
-14,1
-12,1
-11,1
-13,1
-13,1
24,1
26,1
31,1
29,1
28,1
27,1
26,1
21,1
21,1
20,1
26,1
29,1
29,1
30,1
32,1
33,1
31,1
28,1
26,1
24,1
23,1
21,1
22,1
22,1
30,1
28,1
28,1
24,1
25,1
26,1
27,1
28,1
26,1
29,1
23,1
17,1
13,1
11,1
13,1
15,1
8,1
11,1
10,1
4,1
3,1
1,1
-5,1
-10,1
-13,1
-14,1
-9,1
-13,1
-10,1
-11,1
