aX,aY,aZ,label
-0.21741,-0.93713,0.38806,3
-0.16052,-0.80957,0.41089,3
-0.10840,-0.71643,0.60913,3
-0.12732,-0.86951,0.57812,3
-0.17761,-0.96863,0.32690,3
-0.18140,-0.92517,0.33948,3
-0.18311,-0.89136,0.31738,3
-0.18311,-0.90283,0.33508,3
-0.19580,-0.98877,0.32202,3
-0.18140,-0.79980,0.38281,3
-0.22253,-0.74817,0.50000,3
-0.35010,-0.81470,0.27905,3
-0.42468,-0.99036,0.32117,3
-0.35120,-0.82654,0.21362,3
-0.26135,-0.84021,0.36243,3
-0.24280,-0.88879,0.40625,3
-0.22583,-0.86047,0.43164,3
