x,y,z,activity
-0.23193,0.33911,0.87683,1
-0.26379,0.16406,0.94958,1
-0.20679,-0.06604,1.06604,1
-0.25220,-0.27612,0.88074,1
-0.26392,-0.37830,0.90125,1
-0.25317,-0.32898,0.91357,1
-0.28882,-0.28394,0.91870,1
-0.31555,-0.21924,0.96606,1
-0.31616,-0.05469,0.79724,1
-0.30493,0.21155,0.92334,1
-0.30042,0.29822,0.91052,1
-0.27991,0.37830,0.82300,1
-0.26123,0.29260,0.90027,1
-0.26819,0.27612,0.94482,1
-0.25842,0.25525,0.94873,1
-0.28040,0.09753,1.03394,1
-0.27051,0.02893,0.98743,1
-0.27417,0.02612,0.97437,1
-0.28040,0.00476,0.96533,1
-0.27930,0.02771,0.95203,1
-0.27722,0.01563,0.95752,1
-0.28101,-0.00623,0.97754,1
-0.28162,0.01050,0.98999,1
-0.25745,0.04663,0.94788,1
-0.24500,0.03564,0.92224,1
-0.16589,0.08118,1.01135,1
-0.14136,0.09851,1.05029,1
-0.11890,0.09814,1.06726,1
-0.06641,0.08264,1.01367,1
-0.04370,0.08093,1.02747,1
-0.02307,0.10376,1.01343,1
0.02649,0.14490,0.97205,1
0.04724,0.08362,0.99329,1
0.06335,0.04370,0.99023,1
0.07495,0.06189,1.01282,1
0.09583,0.06909,1.06140,1
0.11316,0.09424,0.99927,1
0.11755,0.09448,0.99646,1
0.12231,0.06360,0.99707,1
0.11646,0.03418,0.99719,1
0.10889,0.00488,0.96423,1
0.05237,0.05127,0.93628,1
-0.04651,0.04858,0.97827,1
-0.13904,-0.06067,1.05554,1
-0.26086,-0.17188,0.89429,1
-0.31335,-0.22510,0.91138,1
-0.36780,-0.31274,0.88672,1
-0.38330,-0.26013,0.89856,1
-0.40210,-0.21716,0.88672,1
-0.37622,-0.21924,0.85156,1
-0.40295,-0.24316,0.85937,1
-0.44348,-0.28308,0.88538,1
-0.41748,-0.22144,0.90540,1
-0.41541,-0.20752,0.87280,1
-0.45117,-0.19421,0.95764,1
